task,model,model_tag,method,n,accuracy,acc_ci95_lo,acc_ci95_hi,mean_nll,mean_brier,ece15,mean_entropy,mean_margin,mean_top_prob,wall_s_total,avg_s_per_example,avg_perms_used,max_perms,min_perms,js_eps,torch_dtype
truthfulqa_mc1,Qwen/Qwen3-0.6B,qwen3_0_6b,pcons,817,0.334149326805385,0.30232557654380804,0.367197066545486,13.779972570810816,1.300326390202414,0.648334805668206,0.049228462273721005,0.9636277423189531,0.9812601422655141,242.59990860000107,0.296570961199481,4.660954712362301,7.0,3.0,0.005,auto
truthfulqa_mc1,Qwen/Qwen3-0.6B,qwen3_0_6b,latin,817,0.326805385556915,0.294981628656387,0.359853118658065,13.22953652341554,1.3018944897883071,0.643711068408032,0.07552087032673001,0.9430590220368631,0.9705164539649471,192.66041830000177,0.23546469216651003,4.116279069767442,7.0,3.0,0.005,auto
mmlu_all,Qwen/Qwen3-0.6B,qwen3_0_6b,single,1531,0.421293272370999,0.39645657166838605,0.444823649525642,2.920215528240424,0.9603474170409481,0.426073035741091,0.38349557880759505,0.724648010845511,0.84736630811209,117.01999459999934,0.076232075767437,,,,,auto
mmlu_all,Qwen/Qwen3-0.6B,qwen3_0_6b,pcons,1531,0.42325277596342203,0.39777922630310003,0.44743632972240405,8.42237068432682,1.104207536041693,0.547036057494672,0.075164685561971,0.9421569721212071,0.970288833458095,324.6927199999991,0.211795835793594,4.7903331156107125,7.0,3.0,0.005,auto
mmlu_all,Qwen/Qwen3-0.6B,qwen3_0_6b,latin,1531,0.43958197256694903,0.41476160287857006,0.464402347803115,6.6559471014397005,1.028561644816576,0.495311358112453,0.16269185401222203,0.8779691585997681,0.9348933306794021,273.43797880000056,0.178320167602826,4.0,7.0,3.0,0.005,auto
hellaswag,Qwen/Qwen3-0.6B,qwen3_0_6b,single,1000,0.401,0.37299999594688404,0.43299999833106906,3.085819592419518,0.9878145156690671,0.44053137399830505,0.39381574918163303,0.7088504844608691,0.840015610321539,38.74665190000087,0.038607949400080006,,,,,auto
hellaswag,Qwen/Qwen3-0.6B,qwen3_0_6b,pcons,1000,0.41500000000000004,0.384999990463256,0.44502499327063505,9.193171904416085,1.139802125285073,0.563735558971023,0.05610135604109501,0.9577023314143711,0.978408781068766,182.4631212000022,0.18215477100003002,4.735,7.0,3.0,0.005,auto
hellaswag,Qwen/Qwen3-0.6B,qwen3_0_6b,latin,1000,0.425,0.39597499817609705,0.45502501279115604,7.648502878952686,1.081738045697567,0.5318581564904601,0.108204724280287,0.9169733812680521,0.95685815649046,156.95367790000455,0.156585357200099,4.0,7.0,3.0,0.005,auto
winogrande_xs,Qwen/Qwen3-0.6B,qwen3_0_6b,single,1267,0.499605367008681,0.47196131721138906,0.5280189514160151,1.71699424083149,0.783884846078251,0.35909015575770004,0.30774783476133105,0.717391045532764,0.8586955227663821,35.3208644999977,0.027682130623606003,,,,,auto
winogrande_xs,Qwen/Qwen3-0.6B,qwen3_0_6b,pcons,1267,0.5153906866614041,0.48932516351342203,0.543015003204345,5.652161044703262,0.931071017838301,0.457114632449641,0.073269167642571,0.9422431045164221,0.9711215522582111,126.18580940000538,0.099482073243826,4.448303078137332,7.0,3.0,0.005,auto
winogrande_xs,Qwen/Qwen3-0.6B,qwen3_0_6b,latin,1267,0.516969218626677,0.490923434495925,0.5453827977180481,2.778881037833687,0.8670182407686291,0.407127328884314,0.19303891284426702,0.83140816023048,0.9157040801152401,57.04795959999319,0.044931021310178,2.0,7.0,3.0,0.005,auto
arc_challenge,Qwen/Qwen3-1.7B,qwen3_1_7b,single,1172,0.73976109215017,0.7150170803070061,0.765358388423919,3.753172842291786,0.49562401461527106,0.247307854497631,0.034067015130107,0.9756574215864061,0.9870689466478021,67.65671130000555,0.057609806399403,,,,,auto
arc_challenge,Qwen/Qwen3-1.7B,qwen3_1_7b,pcons,1172,0.7738907849829351,0.750853240489959,0.797781586647033,5.46005706699844,0.45135228151690404,0.22597752821650102,0.003750000346877,0.9974917622279,0.998711814127173,294.27180729999964,0.250732838395934,4.147610921501706,7.0,3.0,0.005,auto
arc_challenge,Qwen/Qwen3-1.7B,qwen3_1_7b,latin,1172,0.770477815699658,0.746587038040161,0.7935153841972351,5.060191470123859,0.451460291141188,0.22436353614852703,0.012822034617820001,0.9899006352065681,0.9948413518481861,282.4415061999971,0.240629377815675,3.9965870307167233,7.0,3.0,0.005,auto
openbookqa,Qwen/Qwen3-1.7B,qwen3_1_7b,single,500,0.65,0.6079999804496761,0.6899999976158141,4.99620813349148,0.68060944279775,0.332160017365414,0.048829854776713005,0.9631590617809831,0.9805976603620521,25.354890700000396,0.050547393399916006,,,,,auto
openbookqa,Qwen/Qwen3-1.7B,qwen3_1_7b,pcons,500,0.6940000000000001,0.6520000100135801,0.734000027179718,7.404751569169313,0.6113936202766721,0.30568794895314605,0.0017590888160910001,0.9993767211058651,0.999687948953146,105.00369520000095,0.20971815980000202,4.198,7.0,3.0,0.005,auto
openbookqa,Qwen/Qwen3-1.7B,qwen3_1_7b,latin,500,0.7020000000000001,0.662000000476837,0.740000009536743,6.686804787753872,0.585055494887043,0.28832610263747105,0.021941881641933003,0.979774771092317,0.989734375475335,100.0453669999988,0.199809859599787,4.0,7.0,3.0,0.005,auto
commonsenseqa,Qwen/Qwen3-1.7B,qwen3_1_7b,single,1221,0.686322686322686,0.6609336733818051,0.710892736911773,4.956803975306791,0.598458882471254,0.297319747682922,0.03999241761916,0.9678748297613231,0.983642434005608,74.07611739999993,0.060501392465114004,,,,,auto
commonsenseqa,Qwen/Qwen3-1.7B,qwen3_1_7b,pcons,1221,0.705978705978705,0.6805896759033201,0.730569213628768,7.370602362398133,0.587431037067014,0.29362387575630905,0.0025941675959750003,0.9984797418287841,0.999237723633649,308.8770918000009,0.252663815151494,4.179361179361179,7.0,3.0,0.005,auto
commonsenseqa,Qwen/Qwen3-1.7B,qwen3_1_7b,latin,1221,0.696969696969697,0.671580672264099,0.723177731037139,7.361063245274282,0.6015963154028341,0.300691712559851,0.006446243600701,0.9953585648880511,0.9976614095295491,304.2343086000037,0.24882222383298902,4.091728091728092,7.0,3.0,0.005,auto
truthfulqa_mc1,Qwen/Qwen3-1.7B,qwen3_1_7b,single,817,0.402692778457772,0.369645029306411,0.43577110096812205,11.10325010161749,1.147766558509729,0.566024636847768,0.07834759600421101,0.9385276669344941,0.967313739137819,73.71386640000128,0.08997428751510601,,,,,auto
truthfulqa_mc1,Qwen/Qwen3-1.7B,qwen3_1_7b,pcons,817,0.43329253365973003,0.402692764997482,0.468788236379623,14.356115556831554,1.126167304403037,0.56257418955632,0.011740268299094001,0.9900455063845781,0.994942520304215,319.6422728999969,0.39091118274158704,4.32313341493268,7.0,3.0,0.005,auto
truthfulqa_mc1,Qwen/Qwen3-1.7B,qwen3_1_7b,latin,817,0.430844553243574,0.399020820856094,0.466340273618698,14.221584127708534,1.127615176240636,0.561170935940552,0.020417854796857003,0.9844682393703711,0.9920154891841261,299.78672210000514,0.366570599265647,3.944920440636475,7.0,3.0,0.005,auto
mmlu_all,Qwen/Qwen3-1.7B,qwen3_1_7b,single,1531,0.544741998693664,0.519921600818634,0.5708687305450441,5.229267182268686,0.844127913189414,0.40726959076900104,0.123425117612992,0.9133995663409261,0.9511401019559921,125.27258549999533,0.081537540692334,,,,,auto
mmlu_all,Qwen/Qwen3-1.7B,qwen3_1_7b,pcons,1531,0.578706727629,0.554539501667022,0.602873921394348,8.879445359370871,0.8304374923253691,0.412360735865744,0.027783733053206004,0.980198674328251,0.9892390635387661,614.2835148000013,0.40088039484001703,4.449379490529066,7.0,3.0,0.005,auto
mmlu_all,Qwen/Qwen3-1.7B,qwen3_1_7b,latin,1531,0.580666231221423,0.555845856666564,0.605502960085868,7.647400371808632,0.7850748678851981,0.383900538386284,0.085700596029444,0.937508192308468,0.9645540743612121,546.2771395999953,0.356468736707967,4.0,7.0,3.0,0.005,auto
hellaswag,Qwen/Qwen3-1.7B,qwen3_1_7b,single,1000,0.436,0.405000001192092,0.465999990701675,5.340826130860035,1.036582697090117,0.493918628088553,0.177942273331119,0.867630045909452,0.928581217776768,79.70982869999716,0.07940247600003901,,,,,auto
hellaswag,Qwen/Qwen3-1.7B,qwen3_1_7b,pcons,1000,0.483,0.45100000500679005,0.514024998247623,11.021076700451069,1.026958408919836,0.513708508289833,0.015910747034237,0.988016554858366,0.993843811427054,325.0203601999965,0.324791476099751,4.461,7.0,3.0,0.005,auto
hellaswag,Qwen/Qwen3-1.7B,qwen3_1_7b,latin,1000,0.51,0.478975001722574,0.541999995708465,9.454057705939398,0.949376664090345,0.46732218232826406,0.057990463773625,0.951567102044755,0.9753347830810201,295.3782648000051,0.295076606000016,4.0,7.0,3.0,0.005,auto
winogrande_xs,Qwen/Qwen3-1.7B,qwen3_1_7b,single,1267,0.5572217837411201,0.5311760306358331,0.584846079349517,8.91301743176241,0.8750256432745821,0.43625878931523404,0.022447875286991003,0.981628494192991,0.9908142470964951,42.12936269999773,0.033175727624403004,,,,,auto
winogrande_xs,Qwen/Qwen3-1.7B,qwen3_1_7b,pcons,1267,0.546172059984214,0.5201262831687921,0.5745856165885921,11.579178980796108,0.9064805340923761,0.453170400444638,0.0035562079907180003,0.9971063888924331,0.998553194446216,175.36222730000736,0.138219174743406,4.169692186266772,7.0,3.0,0.005,auto
winogrande_xs,Qwen/Qwen3-1.7B,qwen3_1_7b,latin,1267,0.5595895816890291,0.533543825149536,0.587233605980873,8.77914147297669,0.8579280628218761,0.422756403309947,0.043607279941951,0.9599563741021371,0.9799781870510681,82.55191320000449,0.06506638058418801,2.0,7.0,3.0,0.005,auto
